Updated at 16:17:53,,,,,,,,,,,,,,,,,,,,,
,Sc1,Sc1,Sc1,Sc1,Sc1,Sc1,Sc1,SMc1,SMc1,SMc1,SMc1,SMc1,SMc1,SMc1,Cc1,Cc1,Cc1,Cc1,Cc1,Cc1,Cc1
,Timestamp,OPEN,CLOSE,LOW,HIGH,VOLUME,OPEN INTEREST,Timestamp,OPEN,CLOSE,LOW,HIGH,VOLUME,OPINT_1,OPEN INTEREST,OPEN,CLOSE,LOW,HIGH,VOLUME,OPEN INTEREST
,5/1/2025,1034.5,1040.25,1027,1043,2080,1691,5/1/2025,289.7,286.5,286.3,289.7,911,1051,5/1/2025,467.25,464.25,463,472.25,3008,3513
,4/30/2025,1040.5,1034.75,1028.25,1042.5,3242,3016,4/30/2025,290.5,290,287.9,291.9,1877,2116,4/30/2025,461,467.25,460.5,470,10991,5076
,4/29/2025,1051.5,1041,1034.75,1052.75,38351,4852,4/29/2025,287,290.5,285.5,291.3,47395,3291,4/29/2025,475.5,460.5,460.25,477.25,100359,10534
,4/28/2025,1049.5,1052,1041.5,1054,69123,26897,4/28/2025,290,287,285.5,290.4,67506,17121,4/28/2025,477,475.5,469.5,478.75,176588,55681
,4/25/2025,1053,1049.75,1046.75,1058,80595,59559,4/25/2025,288.7,290,286.3,290.5,52126,40179,4/25/2025,477,478.75,476.75,480.75,129454,120641
,4/24/2025,1042,1053,1039,1055,95258,92877,4/24/2025,290.9,288.7,288.1,291.5,41519,66135,4/24/2025,472.25,477.25,472.25,478.5,146915,176861
,4/23/2025,1037.5,1040.25,1034.25,1046,105262,113485,4/23/2025,292.5,290.8,290.6,294.4,56881,74821,4/23/2025,476.25,472,470.25,477,147853,213016
,4/22/2025,1030.75,1035,1030,1039.5,78848,127964,4/22/2025,292.9,291.9,291.4,294.9,51793,89771,4/22/2025,481.75,475.75,475,483,152079,240636
,4/21/2025,1039.75,1029.5,1029,1043.75,56324,145365,4/21/2025,296.7,292.9,292.6,297.9,36026,104199,4/21/2025,483.25,481.75,481.25,487.25,128840,261497
,4/17/2025,1038,1036.5,1032,1045.25,88269,153408,4/17/2025,296.7,295.6,294.6,299,44118,112246,4/17/2025,483.25,482.25,481.5,486.5,117566,279832
,4/16/2025,1035.25,1038.75,1028,1045.75,113594,160082,4/16/2025,294.2,296.7,292.7,297.2,58370,122630,4/16/2025,481.25,484.25,479.25,487,136221,293755
,4/15/2025,1040.5,1036,1030.75,1041.25,126985,178546,4/15/2025,297.1,294.2,291.9,297.1,74611,130303,4/15/2025,485,481.25,479,488.75,178411,313243
,4/14/2025,1040.75,1041.75,1036.75,1049.5,117322,190661,4/14/2025,299.6,297.1,295.7,299.7,71490,138468,4/14/2025,489,485,484.25,490.25,201393,338513
,4/11/2025,1026.5,1042.75,1021.75,1044.5,191945,196209,4/11/2025,297.9,299.6,294.5,302,98646,146550,4/11/2025,482,490.25,481.75,490.75,284335,355026
,4/10/2025,1015.25,1029,1010.75,1029.5,192962,231794,4/10/2025,294.5,297.9,293.1,298.3,82476,163008,4/10/2025,473.25,483,473,484,326270,405090
,4/9/2025,989,1012.75,987.5,1015.5,205523,251821,4/9/2025,289.8,294.5,289.5,297,106580,177836,4/9/2025,468,474,465.75,475.5,257173,446751
,4/8/2025,983.25,992.75,982.5,1002.25,216115,282050,4/8/2025,288,291,288,293.8,103058,202148,4/8/2025,464.5,469,462.75,469.75,255177,475642
,4/7/2025,971.75,983,969.5,993.5,272593,305569,4/7/2025,283.1,288.4,283.1,288.8,94267,216789,4/7/2025,456,464.5,454.25,467.5,216782,523893
,4/4/2025,1011,977,970.25,1012.75,269757,335041,4/4/2025,287.8,283.1,282.1,290.3,85169,226606,4/4/2025,457.75,460.25,449.25,462.5,212888,562971
,4/3/2025,1011,1011.5,1005.25,1020.25,169499,329222,4/3/2025,287.3,288,283.5,291.4,89919,226324,4/3/2025,450,457.5,447.5,462.25,203152,579860
,4/2/2025,1032,1029.5,1024.5,1033,129992,331666,4/2/2025,291.8,287.2,287.1,292.7,71969,227702,4/2/2025,460.25,457.75,454,460.75,159591,601505
,4/1/2025,1014.75,1034.25,1010.5,1034.75,167012,337966,4/1/2025,293,292.3,290.9,294.3,77895,226401,4/1/2025,457.75,461.75,454,465,179571,607630
,3/31/2025,1023,1014.75,1013.25,1031.5,160036,348223,3/31/2025,293.9,292.7,292.1,296.9,79900,227119,3/31/2025,453,457.25,444,459.25,282804,619538
